data_id,name,fold_nr,metric,string_encoder,imputer,learning_algorithm,cv_score,fit_time,predict_time
38,sick,1,roc_auc,None,None,DummyClassifier(),0.5,0.0020287036895751953,0.0011913776397705078
38,sick,2,roc_auc,None,None,DummyClassifier(),0.5,0.002042055130004883,0.0011699199676513672
38,sick,3,roc_auc,None,None,DummyClassifier(),0.5,0.002199888229370117,0.0012669563293457031
38,sick,4,roc_auc,None,None,DummyClassifier(),0.5,0.0018849372863769531,0.0011363029479980469
307,vowel,0,neg_log_loss,None,None,DummyClassifier(),-2.397895272798371,0.001123666763305664,0.0010852813720703125
307,vowel,1,neg_log_loss,None,None,DummyClassifier(),-2.397895272798371,0.0010607242584228516,0.0010559558868408203
307,vowel,2,neg_log_loss,None,None,DummyClassifier(),-2.397895272798371,0.0010738372802734375,0.000993967056274414
307,vowel,3,neg_log_loss,None,None,DummyClassifier(),-2.397895272798371,0.0010211467742919922,0.001001119613647461
307,vowel,4,neg_log_loss,None,None,DummyClassifier(),-2.397895272798371,0.0008971691131591797,0.0008959770202636719
300,isolet,0,neg_log_loss,None,None,DummyClassifier(),-3.2580981001487856,0.03566312789916992,0.0018079280853271484
300,isolet,1,neg_log_loss,None,None,DummyClassifier(),-3.2580981001487856,0.035199880599975586,0.0022373199462890625
300,isolet,2,neg_log_loss,None,None,DummyClassifier(),-3.2580980360324485,0.03536081314086914,0.0018448829650878906
300,isolet,3,neg_log_loss,None,None,DummyClassifier(),-3.2580946840232223,0.0351710319519043,0.0017778873443603516
300,isolet,4,neg_log_loss,None,None,DummyClassifier(),-3.2580946840232223,0.03541707992553711,0.001806020736694336
458,analcatdata_authorship,0,neg_log_loss,None,None,DummyClassifier(),-1.2390604673921612,0.0010309219360351562,0.0009629726409912109
458,analcatdata_authorship,1,neg_log_loss,None,None,DummyClassifier(),-1.237038929019261,0.0014140605926513672,0.0009770393371582031
458,analcatdata_authorship,2,neg_log_loss,None,None,DummyClassifier(),-1.237458622363485,0.0010597705841064453,0.0010042190551757812
458,analcatdata_authorship,3,neg_log_loss,None,None,DummyClassifier(),-1.2406288290331589,0.001249074935913086,0.0008418560028076172
458,analcatdata_authorship,4,neg_log_loss,None,None,DummyClassifier(),-1.2406288290331589,0.0009670257568359375,0.0008330345153808594
469,analcatdata_dmft,0,neg_log_loss,None,None,DummyClassifier(),-1.7890205652042972,0.00092315673828125,0.0009379386901855469
469,analcatdata_dmft,1,neg_log_loss,None,None,DummyClassifier(),-1.7886176374947642,0.0010831356048583984,0.0010030269622802734
469,analcatdata_dmft,2,neg_log_loss,None,None,DummyClassifier(),-1.788292724873734,0.0010111331939697266,0.0009551048278808594
469,analcatdata_dmft,3,neg_log_loss,None,None,DummyClassifier(),-1.788292724873734,0.0009706020355224609,0.0009391307830810547
469,analcatdata_dmft,4,neg_log_loss,None,None,DummyClassifier(),-1.7886153734755565,0.0009768009185791016,0.0008602142333984375
554,mnist_784,0,neg_log_loss,None,None,DummyClassifier(),-2.3011326534846344,0.3211250305175781,0.0062427520751953125
554,mnist_784,1,neg_log_loss,None,None,DummyClassifier(),-2.3011361711762417,0.3201169967651367,0.00584101676940918
554,mnist_784,2,neg_log_loss,None,None,DummyClassifier(),-2.301140809729336,0.3210618495941162,0.006273031234741211
554,mnist_784,3,neg_log_loss,None,None,DummyClassifier(),-2.3011344282083637,0.31920385360717773,0.006036996841430664
554,mnist_784,4,neg_log_loss,None,None,DummyClassifier(),-2.3011344282083637,0.31862974166870117,0.00513005256652832
1049,pc4,0,roc_auc,None,None,DummyClassifier(),0.5,0.0009589195251464844,0.0010998249053955078
1049,pc4,1,roc_auc,None,None,DummyClassifier(),0.5,0.0008931159973144531,0.0010941028594970703
1049,pc4,2,roc_auc,None,None,DummyClassifier(),0.5,0.0015859603881835938,0.0014519691467285156
1049,pc4,3,roc_auc,None,None,DummyClassifier(),0.5,0.0009508132934570312,0.0011372566223144531
1049,pc4,4,roc_auc,None,None,DummyClassifier(),0.5,0.0010437965393066406,0.0011420249938964844
1050,pc3,0,roc_auc,None,None,DummyClassifier(),0.5,0.0010790824890136719,0.0011630058288574219
1050,pc3,1,roc_auc,None,None,DummyClassifier(),0.5,0.0009341239929199219,0.0012679100036621094
1050,pc3,2,roc_auc,None,None,DummyClassifier(),0.5,0.0012531280517578125,0.0018029212951660156
1050,pc3,3,roc_auc,None,None,DummyClassifier(),0.5,0.001508951187133789,0.001455068588256836
1050,pc3,4,roc_auc,None,None,DummyClassifier(),0.5,0.0014438629150390625,0.001216888427734375
1053,jm1,0,roc_auc,None,None,DummyClassifier(),0.5,0.004620075225830078,0.0014579296112060547
1053,jm1,1,roc_auc,None,None,DummyClassifier(),0.5,0.0042400360107421875,0.0014100074768066406
1053,jm1,2,roc_auc,None,None,DummyClassifier(),0.5,0.004368782043457031,0.0014162063598632812
1053,jm1,3,roc_auc,None,None,DummyClassifier(),0.5,0.0045740604400634766,0.0014770030975341797
1053,jm1,4,roc_auc,None,None,DummyClassifier(),0.5,0.00450587272644043,0.0014290809631347656
1063,kc2,0,roc_auc,None,None,DummyClassifier(),0.5,0.0008230209350585938,0.0010769367218017578
1063,kc2,1,roc_auc,None,None,DummyClassifier(),0.5,0.0006847381591796875,0.0009870529174804688
1063,kc2,2,roc_auc,None,None,DummyClassifier(),0.5,0.0006840229034423828,0.0009970664978027344
1063,kc2,3,roc_auc,None,None,DummyClassifier(),0.5,0.0006711483001708984,0.0010159015655517578
1063,kc2,4,roc_auc,None,None,DummyClassifier(),0.5,0.0006771087646484375,0.0009870529174804688
1067,kc1,0,roc_auc,None,None,DummyClassifier(),0.5,0.0009219646453857422,0.0011219978332519531
1067,kc1,1,roc_auc,None,None,DummyClassifier(),0.5,0.000993967056274414,0.0011172294616699219
1067,kc1,2,roc_auc,None,None,DummyClassifier(),0.5,0.0009310245513916016,0.0013408660888671875
1067,kc1,3,roc_auc,None,None,DummyClassifier(),0.5,0.0011451244354248047,0.0011341571807861328
1067,kc1,4,roc_auc,None,None,DummyClassifier(),0.5,0.0008788108825683594,0.0011610984802246094
1068,pc1,0,roc_auc,None,None,DummyClassifier(),0.5,0.0009348392486572266,0.0011761188507080078
1068,pc1,1,roc_auc,None,None,DummyClassifier(),0.5,0.0010521411895751953,0.001216888427734375
1068,pc1,2,roc_auc,None,None,DummyClassifier(),0.5,0.0009431838989257812,0.0011518001556396484
1068,pc1,3,roc_auc,None,None,DummyClassifier(),0.5,0.0008890628814697266,0.001123189926147461
1068,pc1,4,roc_auc,None,None,DummyClassifier(),0.5,0.0008270740509033203,0.0011119842529296875
1590,adult,0,roc_auc,None,None,DummyClassifier(),0.5,0.006205320358276367,0.002803802490234375
1590,adult,1,roc_auc,None,None,DummyClassifier(),0.5,0.00723719596862793,0.0029828548431396484
1590,adult,2,roc_auc,None,None,DummyClassifier(),0.5,0.007283926010131836,0.0028150081634521484
1590,adult,3,roc_auc,None,None,DummyClassifier(),0.5,0.006186962127685547,0.003142833709716797
1590,adult,4,roc_auc,None,None,DummyClassifier(),0.5,0.005110025405883789,0.0026760101318359375
4134,Bioresponse,0,roc_auc,None,None,DummyClassifier(),0.5,0.03615713119506836,0.0013270378112792969
4134,Bioresponse,1,roc_auc,None,None,DummyClassifier(),0.5,0.03509211540222168,0.0013079643249511719
4134,Bioresponse,2,roc_auc,None,None,DummyClassifier(),0.5,0.03717494010925293,0.001352071762084961
4134,Bioresponse,3,roc_auc,None,None,DummyClassifier(),0.5,0.03526878356933594,0.0012242794036865234
4134,Bioresponse,4,roc_auc,None,None,DummyClassifier(),0.5,0.032540082931518555,0.001194000244140625
1510,wdbc,0,roc_auc,None,None,DummyClassifier(),0.5,0.0007710456848144531,0.0010938644409179688
1510,wdbc,1,roc_auc,None,None,DummyClassifier(),0.5,0.0007131099700927734,0.001007080078125
1510,wdbc,2,roc_auc,None,None,DummyClassifier(),0.5,0.0010290145874023438,0.001603841781616211
1510,wdbc,3,roc_auc,None,None,DummyClassifier(),0.5,0.0008111000061035156,0.001146078109741211
1510,wdbc,4,roc_auc,None,None,DummyClassifier(),0.5,0.0008149147033691406,0.0011110305786132812
1489,phoneme,0,roc_auc,None,None,DummyClassifier(),0.5,0.0009441375732421875,0.0012559890747070312
1489,phoneme,1,roc_auc,None,None,DummyClassifier(),0.5,0.0009729862213134766,0.001283884048461914
1489,phoneme,2,roc_auc,None,None,DummyClassifier(),0.5,0.0009481906890869141,0.0014979839324951172
1489,phoneme,3,roc_auc,None,None,DummyClassifier(),0.5,0.0014121532440185547,0.0012919902801513672
1489,phoneme,4,roc_auc,None,None,DummyClassifier(),0.5,0.0012018680572509766,0.0012149810791015625
1494,qsar-biodeg,0,roc_auc,None,None,DummyClassifier(),0.5,0.001085042953491211,0.0011909008026123047
1494,qsar-biodeg,1,roc_auc,None,None,DummyClassifier(),0.5,0.0010478496551513672,0.0012259483337402344
1494,qsar-biodeg,2,roc_auc,None,None,DummyClassifier(),0.5,0.0009849071502685547,0.0010991096496582031
1494,qsar-biodeg,3,roc_auc,None,None,DummyClassifier(),0.5,0.0009369850158691406,0.001123189926147461
1494,qsar-biodeg,4,roc_auc,None,None,DummyClassifier(),0.5,0.0008678436279296875,0.0010249614715576172
1497,wall-robot-navigation,0,neg_log_loss,None,None,DummyClassifier(),-1.189686372729575,0.0011219978332519531,0.0010349750518798828
1497,wall-robot-navigation,1,neg_log_loss,None,None,DummyClassifier(),-1.1873460265149844,0.0011239051818847656,0.0014851093292236328
1497,wall-robot-navigation,2,neg_log_loss,None,None,DummyClassifier(),-1.1873460265149844,0.00255584716796875,0.0013260841369628906
1497,wall-robot-navigation,3,neg_log_loss,None,None,DummyClassifier(),-1.189045623347884,0.0012822151184082031,0.0014929771423339844
1497,wall-robot-navigation,4,neg_log_loss,None,None,DummyClassifier(),-1.1890456233478839,0.0011241436004638672,0.0010058879852294922
1501,semeion,0,neg_log_loss,None,None,DummyClassifier(),-2.3025575742527433,0.0027649402618408203,0.0010449886322021484
1501,semeion,1,neg_log_loss,None,None,DummyClassifier(),-2.302514904883474,0.0027420520782470703,0.0009860992431640625
1501,semeion,2,neg_log_loss,None,None,DummyClassifier(),-2.302557956959179,0.0027189254760742188,0.0010569095611572266
1501,semeion,3,neg_log_loss,None,None,DummyClassifier(),-2.3025737759266662,0.0027120113372802734,0.0010230541229248047
1501,semeion,4,neg_log_loss,None,None,DummyClassifier(),-2.302573775926666,0.0025908946990966797,0.0010042190551757812
1480,ilpd,0,roc_auc,None,None,DummyClassifier(),0.5,0.0008800029754638672,0.001119852066040039
1480,ilpd,1,roc_auc,None,None,DummyClassifier(),0.5,0.0008831024169921875,0.0010998249053955078
1480,ilpd,2,roc_auc,None,None,DummyClassifier(),0.5,0.0007879734039306641,0.0010750293731689453
1480,ilpd,3,roc_auc,None,None,DummyClassifier(),0.5,0.0008981227874755859,0.0011210441589355469
1480,ilpd,4,roc_auc,None,None,DummyClassifier(),0.5,0.0008099079132080078,0.0010612010955810547
1485,madelon,0,roc_auc,None,None,DummyClassifier(),0.5,0.010990142822265625,0.0012569427490234375
1485,madelon,1,roc_auc,None,None,DummyClassifier(),0.5,0.010973930358886719,0.0012509822845458984
1485,madelon,2,roc_auc,None,None,DummyClassifier(),0.5,0.008759260177612305,0.0013837814331054688
1485,madelon,3,roc_auc,None,None,DummyClassifier(),0.5,0.011030912399291992,0.0012521743774414062
1485,madelon,4,roc_auc,None,None,DummyClassifier(),0.5,0.010966062545776367,0.0012500286102294922
1486,nomao,0,roc_auc,None,None,DummyClassifier(),0.5,0.021181821823120117,0.0024900436401367188
1486,nomao,1,roc_auc,None,None,DummyClassifier(),0.5,0.022679805755615234,0.002068042755126953
1486,nomao,2,roc_auc,None,None,DummyClassifier(),0.5,0.022489070892333984,0.002046823501586914
1486,nomao,3,roc_auc,None,None,DummyClassifier(),0.5,0.0188751220703125,0.0020029544830322266
1486,nomao,4,roc_auc,None,None,DummyClassifier(),0.5,0.016917943954467773,0.0018548965454101562
1487,ozone-level-8hr,0,roc_auc,None,None,DummyClassifier(),0.5,0.0015549659729003906,0.0011508464813232422
1487,ozone-level-8hr,1,roc_auc,None,None,DummyClassifier(),0.5,0.0015549659729003906,0.0011477470397949219
1487,ozone-level-8hr,2,roc_auc,None,None,DummyClassifier(),0.5,0.001544952392578125,0.0011489391326904297
1487,ozone-level-8hr,3,roc_auc,None,None,DummyClassifier(),0.5,0.0014252662658691406,0.0011096000671386719
1487,ozone-level-8hr,4,roc_auc,None,None,DummyClassifier(),0.5,0.0013720989227294922,0.0011091232299804688
1468,cnae-9,0,neg_log_loss,None,None,DummyClassifier(),-2.1972245773362187,0.00510096549987793,0.0009810924530029297
1468,cnae-9,1,neg_log_loss,None,None,DummyClassifier(),-2.1972245773362187,0.005688905715942383,0.0009319782257080078
1468,cnae-9,2,neg_log_loss,None,None,DummyClassifier(),-2.1972245773362187,0.004878997802734375,0.0009069442749023438
1468,cnae-9,3,neg_log_loss,None,None,DummyClassifier(),-2.1972245773362187,0.005309104919433594,0.0009367465972900391
1468,cnae-9,4,neg_log_loss,None,None,DummyClassifier(),-2.1972245773362187,0.005140066146850586,0.0009188652038574219
1475,first-order-theorem-proving,0,neg_log_loss,None,None,DummyClassifier(),-1.594044158289963,0.004724979400634766,0.0013430118560791016
1475,first-order-theorem-proving,1,neg_log_loss,None,None,DummyClassifier(),-1.5942021370532093,0.004674196243286133,0.0014178752899169922
1475,first-order-theorem-proving,2,neg_log_loss,None,None,DummyClassifier(),-1.5942021370532093,0.004649162292480469,0.0013208389282226562
1475,first-order-theorem-proving,3,neg_log_loss,None,None,DummyClassifier(),-1.5941437723528402,0.0044858455657958984,0.0012249946594238281
1475,first-order-theorem-proving,4,neg_log_loss,None,None,DummyClassifier(),-1.5946334910762072,0.004829883575439453,0.0012309551239013672
1462,banknote-authentication,0,roc_auc,None,None,DummyClassifier(),0.5,0.0007619857788085938,0.0011050701141357422
1462,banknote-authentication,1,roc_auc,None,None,DummyClassifier(),0.5,0.0006377696990966797,0.0010292530059814453
1462,banknote-authentication,2,roc_auc,None,None,DummyClassifier(),0.5,0.0006263256072998047,0.001024007797241211
1462,banknote-authentication,3,roc_auc,None,None,DummyClassifier(),0.5,0.0006673336029052734,0.0010266304016113281
1462,banknote-authentication,4,roc_auc,None,None,DummyClassifier(),0.5,0.0006241798400878906,0.0010149478912353516
1464,blood-transfusion-service-center,0,roc_auc,None,None,DummyClassifier(),0.5,0.0008349418640136719,0.0011200904846191406
1464,blood-transfusion-service-center,1,roc_auc,None,None,DummyClassifier(),0.5,0.0007240772247314453,0.001190185546875
1464,blood-transfusion-service-center,2,roc_auc,None,None,DummyClassifier(),0.5,0.0010268688201904297,0.0011262893676757812
1464,blood-transfusion-service-center,3,roc_auc,None,None,DummyClassifier(),0.5,0.0007688999176025391,0.0010869503021240234
1464,blood-transfusion-service-center,4,roc_auc,None,None,DummyClassifier(),0.5,0.0007710456848144531,0.0010800361633300781
4534,PhishingWebsites,0,roc_auc,None,None,DummyClassifier(),0.5,0.002885103225708008,0.0015308856964111328
4534,PhishingWebsites,1,roc_auc,None,None,DummyClassifier(),0.5,0.0030930042266845703,0.001497030258178711
4534,PhishingWebsites,2,roc_auc,None,None,DummyClassifier(),0.5,0.0033118724822998047,0.0015881061553955078
4534,PhishingWebsites,3,roc_auc,None,None,DummyClassifier(),0.5,0.003564119338989258,0.0017049312591552734
4534,PhishingWebsites,4,roc_auc,None,None,DummyClassifier(),0.5,0.0036821365356445312,0.0014939308166503906
6332,cylinder-bands,0,roc_auc,None,None,DummyClassifier(),0.5,0.0019221305847167969,0.0011658668518066406
6332,cylinder-bands,1,roc_auc,None,None,DummyClassifier(),0.5,0.0020170211791992188,0.0011420249938964844
6332,cylinder-bands,2,roc_auc,None,None,DummyClassifier(),0.5,0.0018498897552490234,0.001146078109741211
6332,cylinder-bands,3,roc_auc,None,None,DummyClassifier(),0.5,0.0016126632690429688,0.0010561943054199219
