data_id,name,metric,string_encoder,imputer,learning_algorithm,avg_cv_score,fit_time,predict_time
44,spambase,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9866214567217083,0.4929452896118164,0.020118141174316408
46,splice,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2858152231922758,0.7596550941467285,0.1472470283508301
50,tic-tac-toe,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9992870539079494,0.17645559310913086,0.02516040802001953
54,vehicle,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.5160359862855011,0.19010462760925292,0.011984872817993163
151,electricity,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.9701759001374496,3.7787857055664062,0.12633194923400878
182,satimage,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2591541195319916,0.9577759742736817,0.025313186645507812
188,eucalyptus,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.8141254602381194,0.2298917293548584,0.036661815643310544
38,sick,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
307,vowel,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.42406342321927254,0.23825984001159667,0.019757843017578124
300,isolet,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.44926362561095956,10.627770233154298,0.055045795440673825
458,analcatdata_authorship,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.17051293017704114,0.1997847557067871,0.011236810684204101
469,analcatdata_dmft,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-6.415256730932613,0.16566929817199708,0.020271968841552735
554,mnist_784,neg_log_loss,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-0.2554647680658778,34.36116995811462,0.5012729644775391
1049,pc4,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.938168712797619,0.22218527793884277,0.013072013854980469
1050,pc3,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.8389187611209964,0.26416893005371095,0.013718843460083008
1053,jm1,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.75192198299801,1.4446545600891114,0.04323148727416992
1063,kc2,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.824451050957075,0.14814343452453613,0.011120748519897462
1067,kc1,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.8281552139202504,0.25435986518859866,0.015419435501098634
1068,pc1,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.8445602144990072,0.19125661849975586,0.012774658203125
1590,adult,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),-1,-1,-1
4134,Bioresponse,roc_auc,SimilarityEncoder(),SimpleImputer(strategy='most_frequent'),RandomForestClassifier(),0.875313408393208,1.96460018157959,0.04819269180297851
